id,value
id_0,8.2137671216777
id_1,17.785317608214903
id_2,24.32472742636536
id_3,11.098155203789167
id_4,27.616139278627767
id_5,21.09954509148275
id_6,21.757407587191683
id_7,30.432066855398013
id_8,16.999234045996772
id_9,60.6595347877126
id_10,15.734212123424285
id_11,11.772433948074497
id_12,61.580194081688596
id_13,52.36654446608629
id_14,20.45353654544336
id_15,11.272493696329223
id_16,29.52173513513357
id_17,70.87148626108676
id_18,0.8210498599385267
id_19,16.066416848150713
id_20,41.82644453504739
id_21,75.43458336876134
id_22,9.575724018460797
id_23,17.12465511445156
id_24,14.718309045223993
id_25,37.37963133032002
id_26,13.468787687272041
id_27,76.62571934896566
id_28,8.381750486975752
id_29,53.26957677123791
id_30,24.409753092315803
id_31,9.575407423268782
id_32,6.604741116375996
id_33,24.367814509961615
id_34,30.58675053895103
id_35,37.347512891743975
id_36,42.408292315005596
id_37,30.950555293895402
id_38,42.123611822501324
id_39,34.24776245037967
id_40,8.754555181267834
id_41,37.362170974829
id_42,31.623182765927435
id_43,51.042980221931636
id_44,16.18055088971327
id_45,35.186436092646524
id_46,25.178450597993596
id_47,10.873020556603233
id_48,21.54963090448671
id_49,33.884532233797835
id_50,26.73672758363591
id_51,10.047603541268153
id_52,18.271838783253806
id_53,55.18730852402456
id_54,14.777065668958386
id_55,36.12964488721467
id_56,33.38884241583731
id_57,22.90706879736235
id_58,57.55275643502886
id_59,21.714259818361935
id_60,17.43605289857765
id_61,41.168138883409554
id_62,12.057430389043049
id_63,48.560871062730655
id_64,17.139538602074936
id_65,12.681836968091936
id_66,15.593240080993336
id_67,1.820751438574871
id_68,43.687269139617726
id_69,32.002732995015634
id_70,18.103683805325772
id_71,36.67012658897484
id_72,59.15214070473585
id_73,6.72379672339787
id_74,15.59711925285918
id_75,6.528509240207227
id_76,39.66109821460961
id_77,15.661746629063762
id_78,21.70206547561591
id_79,23.407278014418807
id_80,22.54681952873264
id_81,42.50447513071101
id_82,24.620092587119135
id_83,99.41297516423401
id_84,35.932361023443036
id_85,24.40436579660838
id_86,23.433473639255002
id_87,30.36085777578742
id_88,23.8205304257368
id_89,21.997884562135205
id_90,30.384611051127994
id_91,41.44514511637798
id_92,7.797222095491446
id_93,36.83965046843678
id_94,47.93271802096613
id_95,16.937217262627506
id_96,34.87123208335455
id_97,11.39996254810182
id_98,24.41848416902123
id_99,5.953638254612542
id_100,16.563906345764305
id_101,28.39897188448311
id_102,9.237438161838009
id_103,14.240108324541062
id_104,21.824043811661507
id_105,38.8865032189635
id_106,31.6676023029649
id_107,7.759902522726336
id_108,8.026046714917971
id_109,82.17698238846313
id_110,46.91952364158732
id_111,13.854393714749198
id_112,26.567376911012264
id_113,16.770613596611103
id_114,13.373995469388397
id_115,24.500819675653084
id_116,24.57905508454938
id_117,10.02649547013239
id_118,19.504031786852117
id_119,19.526979916899602
id_120,84.5289633298741
id_121,25.371524274255407
id_122,32.384542252211496
id_123,23.927193680480173
id_124,10.18881299640575
id_125,41.78667300433944
id_126,11.817216653388758
id_127,17.284940015185608
id_128,26.87327673524594
id_129,63.61457598329575
id_130,18.992412299232026
id_131,22.94480359491964
id_132,61.05653853422955
id_133,13.025119106285256
id_134,16.496793341843045
id_135,3.33178961506731
id_136,12.324399184417533
id_137,60.859596485460656
id_138,19.567174185075807
id_139,5.737086380505682
id_140,28.858252797737027
id_141,26.681755789027115
id_142,45.56717146033992
id_143,30.71207492744209
id_144,14.816837873676278
id_145,26.26004179702351
id_146,11.310862725003796
id_147,52.69699787197181
id_148,20.037986757967232
id_149,38.489022492812396
id_150,8.398224880116615
id_151,7.869290054033003
id_152,24.63873616732806
id_153,6.850331410864164
id_154,16.654895002162355
id_155,42.25692279080662
id_156,10.27815613059197
id_157,37.53237044332972
id_158,14.375886213162637
id_159,17.897292265793457
id_160,40.860543235035074
id_161,15.414164303529297
id_162,10.285959515083924
id_163,7.463048473728273
id_164,46.96921901132511
id_165,30.85493225356276
id_166,-1.050340031239851
id_167,13.868344692164827
id_168,63.50916016558704
id_169,14.603562976027012
id_170,63.89057036804896
id_171,39.132424594523066
id_172,23.269666635101174
id_173,20.96920672208055
id_174,62.352933200652195
id_175,24.03326602799673
id_176,20.314664117620286
id_177,36.60207811981938
id_178,11.408249897751315
id_179,29.787452989041846
id_180,16.324547290630694
id_181,11.728378021989588
id_182,57.188009622326774
id_183,43.31767405069853
id_184,17.345114320775497
id_185,34.93418683114362
id_186,25.699680102622118
id_187,72.50228636318695
id_188,10.453057283221376
id_189,51.77788608200494
id_190,38.74127230738581
id_191,14.566160752445498
id_192,29.270513119787513
id_193,2.1113069930016284
id_194,19.706881670353027
id_195,-0.08970119730346227
id_196,33.8023335258637
id_197,11.415695409007721
id_198,19.50164647366882
id_199,61.73808703153595
id_200,22.396494665554247
id_201,21.8926345022274
id_202,65.5631078000732
id_203,8.402317144079237
id_204,8.778019461842177
id_205,10.404514237768328
id_206,9.806100579370279
id_207,4.394695598249332
id_208,153.1519910560138
id_209,17.047954908790494
id_210,13.51917969119428
id_211,15.864417023812665
id_212,34.69243144924378
id_213,35.44073446101635
id_214,16.62869089025971
id_215,34.51612603921784
id_216,73.07723480078457
id_217,4.200245237857654
id_218,13.83126474028105
id_219,33.08847473066902
id_220,15.82048957954393
id_221,9.945845416002292
id_222,103.2012351289241
id_223,13.0544688051789
id_224,15.567982742128049
id_225,60.383436514150034
id_226,16.970370702300094
id_227,21.204456278296195
id_228,11.145572302212736
id_229,4.387998006449326
id_230,41.04059376633452
id_231,14.801360204346278
id_232,52.70160414315419
id_233,40.41365659681828
id_234,18.73909396636515
id_235,41.22919957750809
id_236,71.86171429917835
id_237,37.64076911808108
id_238,15.6550729102483
id_239,15.1139796671122
